filename,smoking_present,short_description,extended_description
Camel%20filters__frame_0000__0-00-00.jpg,no,none,image appears to be completely dark with no discernible smoking-related elements or anything else visible
Camel%20filters__frame_0001__0-00-00.jpg,yes,Advertising poster on the kiosk mentioning Camel filters,"The kiosk has a poster on its side advertising Camel filters, which indicates the presence of smoking-related content."
Camel%20filters__frame_0002__0-00-01.jpg,unknown,A small newsstand on the sidewalk,"Newsstand with various printed materials displayed, presence of possible cigarette advertisements or packs on the shelves. Smoking elements are unclear from the image alone."
Camel%20filters__frame_0003__0-00-02.jpg,unknown,unknown,unknown
Camel%20filters__frame_0004__0-00-03.jpg,unknown,unknown,unknown
Camel%20filters__frame_0005__0-00-04.jpg,yes,Camel filters visible at kiosk,"Camel filters, a brand of cigarettes, can be seen displayed at the newsstand kiosk in the background."
Camel%20filters__frame_0006__0-00-05.jpg,unknown,unknown,unknown
Camel%20filters__frame_0007__0-00-06.jpg,unknown,unknown,unknown
Camel%20filters__frame_0008__0-00-07.jpg,unknown,A woman in a white furry coat standing at a kiosk.,"The image shows a woman with a dog standing at a kiosk, but there is no clear evidence of smoking-related elements present."
Camel%20filters__frame_0009__0-00-08.jpg,unknown,unknown,unknown
Camel%20filters__frame_0010__0-00-09.jpg,unknown,unknown,unknown
Camel%20filters__frame_0011__0-00-10.jpg,unknown,unknown,unknown
Camel%20filters__frame_0012__0-00-11.jpg,unknown,unknown,unknown
Camel%20filters__frame_0013__0-00-12.jpg,unknown,unknown,unknown
Camel%20filters__frame_0014__0-00-13.jpg,unknown,unknown,unknown
Camel filters__frame_0015__0-00-14.jpg,unknown,unknown,unknown
Camel%20filters__frame_0016__0-00-15.jpg,unknown,A kiosk and surrounding street scene with pedestrians and various newspapers/magazines visible.,"No clear indication of smoking-related elements such as people smoking, cigarettes, or related paraphernalia explicitly identifiable in the image."
Camel%20filters__frame_0017__0-00-16.jpg,unknown,unknown,unknown
Camel%20filters__frame_0018__0-00-17.jpg,unknown,unknown,unknown
Camel%20filters__frame_0019__0-00-18.jpg,unknown,unknown,unknown
Camel_filters__frame_0020__0-00-19.jpg,unknown,unknown,unknown
Camel%20filters__frame_0021__0-00-20.jpg,unknown,unknown,unknown
Camel%20filters__frame_0022__0-00-21.jpg,unknown,unknown,unknown
Camel%20filters__frame_0023__0-00-22.jpg,unknown,unknown,unknown
Camel%20filters__frame_0024__0-00-23.jpg,unknown,unknown,unknown
Camel%20filters__frame_0025__0-00-24.jpg,unknown,unknown,unknown
Camel%20filters__frame_0026__0-00-25.jpg,unable to determine,"Newspaper stand, pedestrian, street scene","There are no clear smoking-related elements visible in the image. It shows a newspaper stand with individuals around it, and a street scene in the background."
Camel%20filters__frame_0027__0-00-26.jpg,yes,Newspaper stand with visible cigarette advertisement,"Cigarette advertisement for Camel filters, displayed on the newspaper stand amidst newspapers and other items in a cityscape setting."
Camel%20filters__frame_0028__0-00-27.jpg,unknown,unknown,unknown
Camel%20filters__frame_0029__0-00-28.jpg,unknown,unknown,unknown
Camel%20filters__frame_0030__0-00-29.jpg,unknown,Newspaper stand with pedestrians around it,"Pedestrians are seen standing around a newspaper stand, possibly from a historical context, with no clearly visible smoking-related elements."
Camel%20filters__frame_0031__0-00-29.jpg,unknown,unknown,unknown
Camel%20filters__frame_0032__0-00-30.jpg,unknown,unknown,unknown
Camel%20filters__frame_0033__0-00-31.jpg,unknown,A man is standing at a kiosk/newspaper stand.,Possible presence of smoking-related elements not clearly visible.
Camel%20filters__frame_0034__0-00-32.jpg,unknown,unknown,unknown
Camel%20filters__frame_0035__0-00-33.jpg,unknown,A newsstand on a street corner,"with people around a newsstand, but no visible smoking activity or cigarettes."
Camel%20filters__frame_0036__0-00-34.jpg,unknown,unknown,unknown
Camel%20filters__frame_0037__0-00-35.jpg,unknown,A person is seen at a newspaper stand with various papers and other items visible.,"There is no clear evidence of smoking-related activity, smoking paraphernalia, or tobacco advertisements present in the image. The scene is set on a street with a person interacting with a newspaper vendor."
Camel%20filters__frame_0038__0-00-36.jpg,unknown,"A bus stop with a man talking to a seller at a small kiosk near a bus station, and newspapers hanging on the kiosk.","It's unclear whether any smoking-related activity or items are present in the image. The image depicts a street scene with a kiosk, but no obvious smoking-related elements can be definitively identified."
Camel%20filters__frame_0039__0-00-37.jpg,unknown,unknown,unknown
Camel%20filters__frame_0040__0-00-38.jpg,unknown,unknown,unknown
Camel%20filters__frame_0041__0-00-39.jpg,unknown,unknown,unknown
Camel%20filters__frame_0042__0-00-40.jpg,yes,Camel Filters cigarette packs and advertisement,"Display stand of Camel Filters cigarettes with multiple packs and slogan ""They're not for everybody"""
Camel%20filters__frame_0043__0-00-41.jpg,TRUE,A pack of Camel cigarettes,"An image showing a pack of Camel Filters cigarettes along with text ""Camel Filters They're not for everybody"" suggesting a possibly targeted or exclusive nature of the product."
Camel%20filters__frame_0044__0-00-42.jpg,yes,Person holding a Camel Filters cigarette pack,Extended close-up of a hand holding a Camel Filters cigarette pack in front of a display box with multiple packs of Camel cigarettes.
Camel filters__frame_0045__0-00-43.jpg,yes,A hand holding a pack of Camel cigarettes,A person is holding a pack of Camel cigarettes in front of a box displaying Camel Filters logo and other packs of Camel cigarettes.
Camel%20filters__frame_0046__0-00-44.jpg,yes,Camel Filters cigarettes display,"Cigarette packs of Camel Filters prominently displayed in a retail setting with a sign reading ""Camel Filters They're not for everybody."""
Camel%20filters__frame_0047__0-00-45.jpg,yes,The individual is holding a cigarette.,"The individual is holding a cigarette with both hands, indicating an action related to smoking."
Camel%20filters__frame_0048__0-00-46.jpg,yes,man using cigarette,man appears to be holding a cigarette in his hand in an outdoor setting
Camel%20filters__frame_0049__0-00-47.jpg,yes,Person holding a cigarette.,"A person is seen holding a cigarette in their hand, indicating that they are likely about to smoke or have been smoking."
Camel%20filters__frame_0050__0-00-48.jpg,yes,Person holding a cigarette,"Person holding a cigarette close to their mouth, indicating that they are smoking."
Camel%20filters__frame_0051__0-00-49.jpg,unknown,unknown,unknown
Camel%20filters__frame_0052__0-00-50.jpg,unknown,unknown,unknown
Camel%20filters__frame_0053__0-00-51.jpg,unknown,unknown,unknown
Camel%20filters__frame_0054__0-00-52.jpg,unknown,unknown,unknown
Camel%20filters__frame_0055__0-00-53.jpg,unknown,unknown,unknown
Camel%20filters__frame_0056__0-00-54.jpg,yes,"Visible advertisements or items, individuals not engaged in smoking.","Several advertisements visible, likely promoting cigarette brands. No active smoking observed."
Camel%20filters__frame_0057__0-00-55.jpg,unknown,unknown,unknown
Camel%20filters__frame_0058__0-00-56.jpg,yes,Camel filters advertisement,"A faded image with a slogan ""Camel filters. They're not for everybody."" indicating a promotional message for Camel cigarettes, showing a street scene with pedestrians in the background, emphasizing the selectiveness of the product's target audience."
./extracted_frames\Camel%20filters__frame_0059__0-00-57.jpg,yes,Camel Filters advertisement,"Text on the image promoting Camel Filters cigarettes, implying that they are a distinctive choice."
Camel%20filters__frame_0060__0-00-58.jpg,yes,Advertisement for Camel Filters cigarettes,"Image shows an old advertisement with the text ""Camel Filters. They're not for everybody"" which is indicative of a cigarette brand promotion."
Camel%20filters__frame_0061__0-00-59.jpg,yes,This image includes a text advertisement for Camel Filters cigarettes.,"The advertisement shows a scene in a public place with people walking in the background, accompanied by the text ""Camel Filters. They're not for everybody,"" indicating it is promoting a smoking product."
Camel filters__frame_0062__0-00-59.jpg,yes,an advertisement for Camel Filters,"text display of Camel Filters slogan, ""They're not for everybody."""
Camel%20filters__frame_0063__0-01-00.jpg,unknown,unknown,unknown
